,BATF,BCL6,CEBPA,CEBPB,E2F1,ETS1,FOS,FOXP3,GATA1,GATA3,HIF1A,IRF1,IRF4,IRF8,JUN,LEF1,MYC,NFE2L2,NFKB1,NR3C1,PAX5,PRDM1,RELA,RUNX1,RUNX3,SMAD3,SPI1,STAT1,STAT4,TBX21,TCF7,TP53,disease
C2P12,0.08279566360052563,0.12649967148488833,0.17321287779237843,0.03162943495400789,0.02306258212877792,0.17368101182654402,0.21198587385019713,0.1524036355672361,0.06794086727989487,0.0007183530442400351,0.38396107095926413,1.2281182654402103,0.20572766097240475,1.6705952693823918,0.4290045992115637,0.07396627244853264,0.23140275952693823,0.31353044240035044,0.12590382720105125,0.827993867717915,0.07692400350416119,0.12166392904073588,0.13526786616799757,0.23726863149990615,0.12519185282522996,0.21722404730617612,0.7549634983209226,0.9177576497090296,0.02894072127317857,0.0881353482260184,0.42535611038107757,0.21325640604467808,normal
C2P13,0.07054332552693209,0.15584309133489463,0.15719906323185012,0.008141451990632317,0.021213114754098362,0.25477517564402813,0.21035714285714285,0.15146057767369245,0.05640187353629976,0.0,0.37385421545667447,1.3204187353629977,0.20714168618266982,1.9458576112412178,0.32426775956284154,0.05635597189695549,0.2384303278688525,0.2959333853760083,0.1260746487119438,0.7229570647931304,0.07276190476190478,0.1071896955503513,0.13892667987749954,0.3017437269989963,0.186752224824356,0.21922833723653398,0.6112438199323447,0.9135684175309468,0.036391360915951076,0.15241779859484778,0.38383887587822013,0.19977751756440282,normal
C2P13F,0.03599093531108364,0.15668495055624226,0.1661928306551298,0.004428306551297899,0.016499536464771324,0.43642691594561184,0.19259116192830655,0.1167047795632468,0.027173671199011123,0.0004233621755253399,0.2231783065512979,1.3849042027194067,0.16022249690976514,2.278537082818294,0.2957184796044499,0.03502678203543469,0.14968827255871447,0.2520062491416014,0.099915597960445,0.4621271116604862,0.08329985578903998,0.07633884425216317,0.0863012265855282,0.3479794278650891,0.3210754017305315,0.16020318294190358,0.27422057409696465,0.9481147360056507,0.050141464084603765,0.29377379480840543,0.25267923362175526,0.1624269932014833,normal
C2P15,0.06075546719681909,0.22019963552021204,0.1198202451954937,0.04540291583830351,0.01510685884691849,0.28557819748177604,0.2077783300198807,0.14989783521095648,0.05375745526838967,0.00017229953611663353,0.34553180914512927,1.3422962226640158,0.2696868787276342,1.8070172299536118,0.420018223989397,0.04720675944333996,0.20065564943671307,0.27244864148442677,0.15701685719019218,0.8145631764965762,0.05768168765186658,0.09260520212060969,0.19171050619360758,0.2527776199943198,0.21039098740888007,0.2102286282306163,0.6165061482954128,0.9645929186784058,0.04175134378911714,0.2200364479787939,0.35613916500994036,0.20183482438701128,normal
C2P15H,0.040558739255014326,0.27637983524355303,0.09926038681948424,0.007588825214899714,0.03103823424068768,0.7861228510028653,0.22989523638968482,0.1067717287488061,0.018933739255014327,0.0,0.2571355659025788,1.5937743553008594,0.24198513610315187,2.4731683381088825,0.27048113658070677,0.062194364851957985,0.17645773638968482,0.2755830149633875,0.14684075035816618,0.5166129417382997,0.24008476599808978,0.06604315902578797,0.10034934979061053,0.543815493246009,0.514916905444126,0.12857808022922634,0.25744070359758037,1.1216404011461318,0.07803724928366762,0.5191597421203438,0.2248345272206304,0.18040696633237818,normal
C2P16,0.05579409048938135,0.1730775623268698,0.09551385041551247,0.021916897506925208,0.01646468144044321,0.35001108033240996,0.17118836565096957,0.12813111726685134,0.04030193905817175,0.00034903047091412737,0.22511565096952907,1.3329817174515235,0.18524653739612187,1.7164664819944597,0.3406214219759927,0.04945152354570637,0.13446537396121885,0.2459458294859957,0.15641551246537394,0.6440821791320406,0.12366666666666666,0.07175761772853186,0.1424167909652674,0.3032940245350218,0.224003324099723,0.1740027700831025,0.39861003385657123,0.9464736842105264,0.03192243767313019,0.20285540166204985,0.28953573407202216,0.17434972299168977,normal
C2P16H,0.028364105945708318,0.2273367952522255,0.07313138806462248,0.005837124958786679,0.01951821628750412,0.7162166172106825,0.16345285196175408,0.15202549730739642,0.01866798549291131,0.00029014177382129903,0.20176557863501485,1.4836768875700628,0.2048384437850313,2.166215628090999,0.19765248928453674,0.03881305637982196,0.16159165842400264,0.2416932263618713,0.15711877678865804,0.36175458841630953,0.14734366413891636,0.05706726013847675,0.07105353927312384,0.5076341199189863,0.4935258819650511,0.1903939993405869,0.18244459098069382,1.0817158871461543,0.061952229182694066,0.4434955489614243,0.1980125288493241,0.15653066271018792,normal
C2P18,0.05741146403797007,0.16618838992332968,0.15433871851040526,0.04265169769989047,0.016124726177437022,0.35769167579408545,0.3403135268346112,0.14184921504198614,0.0476078860898138,0.0,0.28710227272727273,1.8877174151150053,0.20231653888280393,2.571251916757941,0.5646522453450165,0.04938663745892661,0.17311404709748085,0.3488675915784349,0.17289567360350494,0.8020116830960204,0.14821102592186933,0.10020810514786418,0.17724450248546633,0.31135111876075733,0.24899342825848847,0.19366785323110625,0.6325045637093828,1.2940772179627602,0.03685955944992089,0.22458269441401973,0.3300350492880614,0.24160870755750274,normal
C2P19,0.044611581920903955,0.3115293961864407,0.12926509533898306,0.01314406779661017,0.029116790254237288,0.7459838453389831,0.23456700211864406,0.1488179731638418,0.028833686440677964,0.0,0.2628277277542373,1.6939131355932204,0.28299920550847457,2.2916514830508476,0.2683315677966102,0.06009887005649717,0.1764155190677966,0.2885610875706215,0.18499801377118646,0.568135593220339,0.22917637711864405,0.06412473516949152,0.11014219361147329,0.5241684322033898,0.4696758474576271,0.1846345338983051,0.3814159604519774,1.185162303268765,0.07629178436911487,0.4410889830508474,0.251,0.1934083686440678,normal
C2P19H,0.030903129463706016,0.29040514218932606,0.11503603428126218,0.007032333463186599,0.031888878067783406,0.7751168679392287,0.25133911180366186,0.11806453707310739,0.023100895987534086,0.0,0.23558920919361123,1.611303467082197,0.23903973509933776,2.364020257109466,0.2854376055057784,0.06247500324633165,0.1745096416049864,0.27415530450590836,0.12989506232956757,0.5136780937540579,0.24907804181275162,0.06776490066225166,0.1053855143687633,0.5311625577383271,0.5138075574600702,0.14734807167900274,0.3331554343591742,1.145090155267405,0.078090724148379,0.5226723802103622,0.22927775613556683,0.18903535255161666,normal
