TF1,TF2,r,|r|,p
GATA1,PAX5,-0.00532416435157494,0.00532416435157494,0.9664252085063899
GATA1,PRDM1,0.209726173137501,0.209726173137501,0.0935888799551037
GATA1,RELA,0.14053480758170994,0.14053480758170994,0.264167245930522
GATA1,RUNX1,0.14144195017672362,0.14144195017672362,0.26106546801788155
GATA1,RUNX3,0.07510200860332328,0.07510200860332328,0.5521216307272028
GATA1,SMAD3,0.11417748580790106,0.11417748580790106,0.36512984797158937
GATA1,SPI1,0.3499988387271294,0.3499988387271294,0.0042628609884317785
GATA1,STAT1,0.18961935692052512,0.18961935692052512,0.13031541605879224
GATA1,STAT4,-0.012502489570778524,0.012502489570778524,0.9212603000942513
GATA1,TBX21,0.10195429905245047,0.10195429905245047,0.4190090127960112
GATA1,TCF7,0.2747593427923196,0.2747593427923196,0.02675876088436007
GATA1,TP53,0.1748169539055432,0.1748169539055432,0.16367310229669763
GATA3,HIF1A,0.1921717752825473,0.1921717752825473,0.12512580297167597
GATA3,IRF1,0.23202286343590992,0.23202286343590992,0.06291380715121886
GATA3,IRF4,0.30941409175966605,0.30941409175966605,0.012139926047611856
GATA3,IRF8,0.13080399183520644,0.13080399183520644,0.298998399782065
GATA3,JUN,0.16993132693286822,0.16993132693286822,0.175955632463189
GATA3,LEF1,0.2436886734601216,0.2436886734601216,0.05044641190956682
GATA3,MYC,0.2740393960329594,0.2740393960329594,0.027175906164150953
GATA3,NFE2L2,0.25402600359234395,0.25402600359234395,0.04116028487415634
GATA3,NFKB1,0.3994051020742368,0.3994051020742368,0.000980878116542597
GATA3,NR3C1,0.25283635099685997,0.25283635099685997,0.04215113440848894
GATA3,PAX5,0.00995577397842012,0.00995577397842012,0.9372628806505008
GATA3,PRDM1,0.23988619461238658,0.23988619461238658,0.054266428460760026
GATA3,RELA,0.24676602251304233,0.24676602251304233,0.04751841088877599
GATA3,RUNX1,0.3130460820253312,0.3130460820253312,0.011115250584116172
GATA3,RUNX3,0.24645026179714974,0.24645026179714974,0.04781227552832499
GATA3,SMAD3,0.24710563890600878,0.24710563890600878,0.04720400059190348
GATA3,SPI1,0.14132132401826886,0.14132132401826886,0.2614765000333221
GATA3,STAT1,0.23686094801745033,0.23686094801745033,0.057471091868424244
GATA3,STAT4,0.25409273541845084,0.25409273541845084,0.04110527989033744
GATA3,TBX21,0.13279256644026408,0.13279256644026408,0.29164794718570775
GATA3,TCF7,0.36846086838764464,0.36846086838764464,0.0025276454970654043
GATA3,TP53,0.30691303285888255,0.30691303285888255,0.012892150891384057
HIF1A,IRF1,0.537952666026949,0.537952666026949,3.810712246768791e-06
HIF1A,IRF4,0.7684700100902252,0.7684700100902252,7.849763823260021e-14
HIF1A,IRF8,0.43498745734030553,0.43498745734030553,0.0002934566681316904
HIF1A,JUN,0.46765249721284685,0.46765249721284685,8.572282420155465e-05
HIF1A,LEF1,0.623025077192055,0.623025077192055,2.986429994651971e-08
HIF1A,MYC,0.933649343285259,0.933649343285259,8.67775494792121e-30
HIF1A,NFE2L2,0.8809595337318721,0.8809595337318721,3.8108013301292805e-22
HIF1A,NFKB1,0.6312389487760532,0.6312389487760532,1.7280275133031112e-08
HIF1A,NR3C1,0.8439312945378626,0.8439312945378626,1.0764323477119342e-18
HIF1A,PAX5,0.3437600643352627,0.3437600643352627,0.005052002311077667
HIF1A,PRDM1,0.6906928982863906,0.6906928982863906,1.929899410998985e-10
HIF1A,RELA,0.7481114659495643,0.7481114659495643,7.95171358126156e-13
HIF1A,RUNX1,0.4533652506430366,0.4533652506430366,0.00014910640481140811
HIF1A,RUNX3,0.3169025306679024,0.3169025306679024,0.010110147356098543
HIF1A,SMAD3,0.7672369665578485,0.7672369665578485,9.09160216257933e-14
HIF1A,SPI1,0.7596983777759874,0.7596983777759874,2.1891572942190144e-13
HIF1A,STAT1,0.6409108182257092,0.6409108182257092,8.885434878880836e-09
HIF1A,STAT4,0.5431673649255798,0.5431673649255798,2.93918257544225e-06
HIF1A,TBX21,0.2657362086603301,0.2657362086603301,0.03239573493544496
HIF1A,TCF7,0.8762004291212021,0.8762004291212021,1.2158848005688433e-21
HIF1A,TP53,0.851907690519076,0.851907690519076,2.3412432072245615e-19
IRF1,IRF4,0.5371430170087664,0.5371430170087664,3.965957518238524e-06
IRF1,IRF8,0.8814734454267512,0.8814734454267512,3.352145295383163e-22
IRF1,JUN,0.19754829395508777,0.19754829395508777,0.11471032887798252
IRF1,LEF1,0.6692169134648154,0.6692169134648154,1.1011729510566001e-09
IRF1,MYC,0.5692144790650958,0.5692144790650958,7.507461970112442e-07
IRF1,NFE2L2,0.7674031750290604,0.7674031750290604,8.91385306406727e-14
IRF1,NFKB1,0.4989713362224138,0.4989713362224138,2.329999221664397e-05
IRF1,NR3C1,0.4595073799274219,0.4595073799274219,0.00011788168036143718
IRF1,PAX5,0.5172421944620025,0.5172421944620025,1.0252589911169429e-05
IRF1,PRDM1,0.3389194744881876,0.3389194744881876,0.005750381336334525
IRF1,RELA,0.4676523107372191,0.4676523107372191,8.572345730339252e-05
IRF1,RUNX1,0.5679244776806427,0.5679244776806427,8.054726219671639e-07
IRF1,RUNX3,0.44353550027768673,0.44353550027768673,0.00021520113463563778
IRF1,SMAD3,0.43478500994100255,0.43478500994100255,0.00029559107538687133
IRF1,SPI1,0.3839040918472299,0.3839040918472299,0.0015940278964825937
IRF1,STAT1,0.947326387508838,0.947326387508838,7.426595261548697e-33
IRF1,STAT4,0.5743203822448414,0.5743203822448414,5.665780536533798e-07
IRF1,TBX21,0.4542575929995264,0.4542575929995264,0.0001441418487587084
IRF1,TCF7,0.5149646949308012,0.5149646949308012,1.1386781192632525e-05
IRF1,TP53,0.6020452068946983,0.6020452068946983,1.1268542961509741e-07
IRF4,IRF8,0.42761731559294835,0.42761731559294835,0.00038094944480482026
IRF4,JUN,0.3359200276972115,0.3359200276972115,0.00622455952822759
IRF4,LEF1,0.5922796342359273,0.5922796342359273,2.0250392463100197e-07
